time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
2014-04-01,13.5,-1.2,5.6,2014-04-01T05:39,2014-04-01T18:20,45675.38,35626.83,0.00,0.00,0.00,0.0,11.9,28.8
2014-04-02,11.8,2.0,6.5,2014-04-02T05:37,2014-04-02T18:21,45837.55,17107.27,1.80,1.80,0.00,3.0,10.0,18.0
2014-04-03,15.6,2.6,8.2,2014-04-03T05:36,2014-04-03T18:22,45999.61,39354.84,1.20,1.20,0.00,2.0,10.8,19.4
2014-04-04,6.0,4.2,5.1,2014-04-04T05:34,2014-04-04T18:23,46161.45,0.00,4.50,4.50,0.00,14.0,20.6,39.6
2014-04-05,11.9,3.3,7.3,2014-04-05T05:32,2014-04-05T18:24,46322.95,43110.34,0.00,0.00,0.00,0.0,24.9,49.7
2014-04-06,13.1,-0.3,5.9,2014-04-06T05:31,2014-04-06T18:25,46484.00,43171.48,0.00,0.00,0.00,0.0,14.3,27.4
2014-04-07,8.9,1.2,6.3,2014-04-07T05:29,2014-04-07T18:26,46644.53,12032.32,8.40,8.40,0.00,8.0,21.0,41.0
2014-04-08,17.8,6.7,11.6,2014-04-08T05:27,2014-04-08T18:27,46804.39,17969.62,3.70,3.70,0.00,8.0,25.2,47.2
2014-04-09,14.8,2.7,8.6,2014-04-09T05:26,2014-04-09T18:29,46963.50,43200.00,0.00,0.00,0.00,0.0,21.4,39.6
2014-04-10,14.4,1.2,8.8,2014-04-10T05:24,2014-04-10T18:30,47121.73,43287.18,0.00,0.00,0.00,0.0,20.0,36.7
2014-04-11,20.7,9.8,14.4,2014-04-11T05:23,2014-04-11T18:31,47278.98,34535.12,2.20,2.20,0.00,5.0,15.9,34.6
2014-04-12,19.6,6.8,13.0,2014-04-12T05:21,2014-04-12T18:32,47435.11,43295.00,0.60,0.60,0.00,2.0,15.2,31.3
2014-04-13,23.0,7.5,15.2,2014-04-13T05:20,2014-04-13T18:33,47590.02,43363.05,0.00,0.00,0.00,0.0,19.3,37.8
2014-04-14,21.8,13.7,16.9,2014-04-14T05:18,2014-04-14T18:34,47743.59,43130.64,0.00,0.00,0.00,0.0,24.1,46.8
2014-04-15,16.7,1.9,12.3,2014-04-15T05:17,2014-04-15T18:35,47896.09,0.00,22.30,21.80,0.35,20.0,30.8,67.7
2014-04-16,8.2,-0.2,4.0,2014-04-16T05:15,2014-04-16T18:36,48048.57,44110.81,2.30,0.30,1.40,2.0,25.4,50.0
2014-04-17,7.6,1.1,4.1,2014-04-17T05:14,2014-04-17T18:37,48200.97,43996.84,0.00,0.00,0.00,0.0,14.7,34.6
2014-04-18,7.8,2.2,4.5,2014-04-18T05:12,2014-04-18T18:38,48353.20,31774.17,0.00,0.00,0.00,0.0,13.1,28.4
2014-04-19,17.0,2.6,9.9,2014-04-19T05:11,2014-04-19T18:39,48505.14,43295.97,0.00,0.00,0.00,0.0,14.8,33.8
2014-04-20,11.6,3.8,7.9,2014-04-20T05:09,2014-04-20T18:40,48656.70,43971.96,0.00,0.00,0.00,0.0,17.6,33.8
2014-04-21,16.2,1.6,8.9,2014-04-21T05:08,2014-04-21T18:41,48807.75,44975.33,0.00,0.00,0.00,0.0,11.9,21.6
2014-04-22,20.4,5.4,12.8,2014-04-22T05:06,2014-04-22T18:42,48958.20,34829.82,1.20,1.20,0.00,3.0,12.6,24.1
2014-04-23,14.1,6.4,10.2,2014-04-23T05:05,2014-04-23T18:43,49107.91,34356.80,0.50,0.50,0.00,2.0,29.6,58.7
2014-04-24,14.6,4.5,8.9,2014-04-24T05:03,2014-04-24T18:44,49256.77,45596.91,0.00,0.00,0.00,0.0,27.0,52.2
2014-04-25,14.3,2.9,8.9,2014-04-25T05:02,2014-04-25T18:45,49404.67,45334.36,1.30,1.30,0.00,3.0,16.8,32.4
2014-04-26,17.4,7.5,10.5,2014-04-26T05:01,2014-04-26T18:46,49551.48,31185.99,18.90,18.90,0.00,11.0,16.3,36.7
2014-04-27,12.9,5.0,9.0,2014-04-27T04:59,2014-04-27T18:47,49697.07,36997.41,0.00,0.00,0.00,0.0,19.5,44.3
2014-04-28,16.0,3.6,10.1,2014-04-28T04:58,2014-04-28T18:48,49841.32,42604.50,0.00,0.00,0.00,0.0,13.5,26.3
2014-04-29,8.5,5.5,7.2,2014-04-29T04:56,2014-04-29T18:50,49984.09,0.00,4.40,4.40,0.00,9.0,24.3,52.2
2014-04-30,12.4,5.2,7.6,2014-04-30T04:55,2014-04-30T18:51,50125.26,0.00,35.40,35.40,0.00,24.0,26.1,53.6
2014-05-01,22.0,13.1,16.8,2014-05-01T04:54,2014-05-01T18:52,50264.69,29712.90,6.70,6.70,0.00,10.0,17.6,38.5
2014-05-02,18.1,9.8,14.3,2014-05-02T04:53,2014-05-02T18:53,50402.23,40698.87,0.10,0.10,0.00,1.0,22.6,43.2
2014-05-03,18.3,6.8,13.2,2014-05-03T04:51,2014-05-03T18:54,50537.75,46528.72,0.00,0.00,0.00,0.0,16.5,32.4
2014-05-04,15.5,9.4,12.6,2014-05-04T04:50,2014-05-04T18:55,50671.09,43599.80,0.10,0.10,0.00,1.0,28.9,55.8
2014-05-05,18.0,7.9,12.6,2014-05-05T04:49,2014-05-05T18:56,50802.50,43596.99,0.00,0.00,0.00,0.0,21.8,42.1
2014-05-06,18.5,6.9,12.5,2014-05-06T04:48,2014-05-06T18:57,50932.94,37280.60,0.00,0.00,0.00,0.0,17.8,35.3
2014-05-07,17.8,6.4,12.5,2014-05-07T04:47,2014-05-07T18:58,51062.36,45033.45,0.00,0.00,0.00,0.0,14.9,26.6
2014-05-08,13.9,10.2,11.8,2014-05-08T04:46,2014-05-08T18:59,51190.65,0.00,9.70,9.70,0.00,9.0,10.0,18.7
2014-05-09,17.4,10.5,13.9,2014-05-09T04:44,2014-05-09T19:00,51317.70,746.88,3.50,3.50,0.00,5.0,14.0,26.6
2014-05-10,26.4,13.5,18.9,2014-05-10T04:43,2014-05-10T19:01,51443.38,26913.77,2.00,2.00,0.00,6.0,19.5,40.7
2014-05-11,24.4,14.8,19.1,2014-05-11T04:42,2014-05-11T19:02,51567.57,48139.74,0.10,0.10,0.00,1.0,14.9,28.4
2014-05-12,26.7,12.7,20.1,2014-05-12T04:41,2014-05-12T19:03,51690.14,45881.37,0.00,0.00,0.00,0.0,10.2,20.2
2014-05-13,18.1,10.3,15.2,2014-05-13T04:40,2014-05-13T19:04,51811.00,46956.68,0.00,0.00,0.00,0.0,17.7,37.1
2014-05-14,19.0,9.8,13.4,2014-05-14T04:39,2014-05-14T19:05,51929.98,37654.27,0.00,0.00,0.00,0.0,14.3,27.7
2014-05-15,20.5,13.4,17.3,2014-05-15T04:38,2014-05-15T19:06,52046.97,10865.81,2.00,2.00,0.00,6.0,19.4,35.6
2014-05-16,18.3,16.2,17.3,2014-05-16T04:37,2014-05-16T19:07,52161.83,0.00,21.10,21.10,0.00,15.0,25.6,56.2
2014-05-17,18.9,10.5,14.9,2014-05-17T04:36,2014-05-17T19:08,52274.44,48796.14,4.90,4.90,0.00,2.0,16.8,34.2
2014-05-18,17.2,8.0,13.2,2014-05-18T04:36,2014-05-18T19:09,52384.64,48898.05,0.00,0.00,0.00,0.0,15.5,29.5
2014-05-19,20.3,7.9,14.1,2014-05-19T04:35,2014-05-19T19:10,52492.31,48927.11,0.00,0.00,0.00,0.0,19.9,42.8
2014-05-20,23.1,10.2,16.9,2014-05-20T04:34,2014-05-20T19:11,52597.30,46996.00,0.10,0.10,0.00,1.0,15.7,33.1
2014-05-21,21.8,13.6,17.2,2014-05-21T04:33,2014-05-21T19:11,52699.46,18845.71,0.40,0.40,0.00,2.0,14.8,30.2
2014-05-22,18.4,14.0,15.8,2014-05-22T04:32,2014-05-22T19:12,52798.67,13823.94,11.00,11.00,0.00,9.0,12.0,27.4
2014-05-23,19.2,13.3,15.7,2014-05-23T04:32,2014-05-23T19:13,52894.76,27109.21,8.50,8.50,0.00,14.0,9.9,20.5
2014-05-24,19.5,13.1,15.5,2014-05-24T04:31,2014-05-24T19:14,52987.59,45650.96,4.20,4.20,0.00,6.0,12.8,28.1
2014-05-25,24.6,11.9,17.8,2014-05-25T04:30,2014-05-25T19:15,53077.31,46910.55,0.00,0.00,0.00,0.0,10.4,22.3
2014-05-26,27.8,14.9,21.0,2014-05-26T04:30,2014-05-26T19:16,53164.63,46952.37,0.00,0.00,0.00,0.0,16.4,32.8
2014-05-27,28.7,17.0,22.9,2014-05-27T04:29,2014-05-27T19:17,53249.52,43200.00,0.40,0.40,0.00,2.0,15.1,29.5
2014-05-28,20.0,11.9,14.7,2014-05-28T04:28,2014-05-28T19:17,53331.89,0.00,1.10,1.10,0.00,3.0,16.6,36.0
2014-05-29,16.1,10.7,12.8,2014-05-29T04:28,2014-05-29T19:18,53411.66,37595.33,0.00,0.00,0.00,0.0,13.7,28.8
2014-05-30,22.0,11.4,16.4,2014-05-30T04:27,2014-05-30T19:19,53488.73,42253.14,0.10,0.10,0.00,1.0,13.7,29.5
2014-05-31,19.7,12.8,16.3,2014-05-31T04:27,2014-05-31T19:20,53563.01,49831.68,0.40,0.40,0.00,3.0,21.0,42.1
2014-06-01,22.7,10.0,16.8,2014-06-01T04:27,2014-06-01T19:20,53634.42,49873.59,0.00,0.00,0.00,0.0,13.2,24.8
2014-06-02,25.5,11.1,19.1,2014-06-02T04:26,2014-06-02T19:21,53702.86,49914.54,0.00,0.00,0.00,0.0,13.0,25.9
